departure_time,return_time,departure_station_id,departure_station,return_station_id,return_station,duration,covered_distance,month,id
2021-05-31T23:57:25,2021-06-01T00:05:46,94,Laajalahden aukio,100,Teljäntie,2043.0,500,May,0
2021-05-31T23:56:59,2021-06-01T00:07:14,82,Töölöntulli,113,Pasilan asema,1870.0,611,May,1
2021-05-31T23:56:44,2021-06-01T00:03:26,123,Näkinsilta,121,Vilhonvuorenkatu,1025.0,399,May,2
2021-05-31T23:56:23,2021-06-01T00:29:58,4,Viiskulma,65,Hernesaarenranta,4318.0,2009,May,3
2021-05-31T23:56:11,2021-06-01T00:02:02,4,Viiskulma,65,Hernesaarenranta,1400.0,350,May,4
2021-05-31T23:54:48,2021-06-01T00:00:57,292,Koskelan varikko,133,Paavalinpuisto,1713.0,366,May,5
2021-05-31T23:54:11,2021-06-01T00:17:11,34,Kansallismuseo,81,Stenbäckinkatu,2550.0,1377,May,6
2021-05-31T23:53:04,2021-06-01T00:14:52,240,Viikin normaalikoulu,281,Puotila (M),5366.0,1304,May,7
2021-05-31T23:52:03,2021-06-01T00:15:16,116,Linnanmäki,117,Brahen puistikko,3344.0,1393,May,8
2021-05-31T23:50:19,2021-06-01T00:05:58,116,Linnanmäki,145,Pohjolankatu,3248.0,935,May,9
2021-05-31T23:50:05,2021-06-01T00:01:22,147,Käpylän asema,232,Oulunkylän asema,1633.0,672,May,10
2021-05-31T23:50:00,2021-05-31T23:55:48,69,Kalevankatu,62,Välimerenkatu,1131.0,345,May,11
2021-05-31T23:49:59,2021-05-31T23:59:49,147,Käpylän asema,232,Oulunkylän asema,1695.0,589,May,12
2021-05-31T23:49:59,2021-05-31T23:55:38,69,Kalevankatu,62,Välimerenkatu,1125.0,336,May,13
2021-05-31T23:49:36,2021-06-01T00:40:20,547,Jämeräntaival,547,Jämeräntaival,1227.0,3040,May,14
2021-05-31T23:49:18,2021-06-01T00:05:09,201,Länsisatamankuja,41,Ympyrätalo,4245.0,948,May,15
2021-05-31T23:48:53,2021-06-01T00:03:49,30,Itämerentori,50,Melkonkuja,2656.0,892,May,16
2021-05-31T23:48:44,2021-05-31T23:56:06,235,Katariina Saksilaisen katu,239,Viikin tiedepuisto,2107.0,437,May,17
2021-05-31T23:47:49,2021-05-31T23:51:11,727,Ratsutori,713,Upseerinkatu,549.0,198,May,18
2021-05-31T23:46:14,2021-05-31T23:55:58,137,Arabian kauppakeskus,44,Sörnäinen (M),1970.0,582,May,19
